Number,Description,Steps to Reproduce,Priority,Severity,Actual Result,Expected Result,Version,Reporter,Status,Feature
4,Incorrect book information displayed,1. Navigate to the book detail page 2. Check the book information displayed,Medium,Minor,Incorrect author name and publication date displayed,Correct author name and publication date should be displayed,Web 2.0,Jane Smith,Open,Book Information
8,Incorrect shipping information,"1. Navigate to the checkout page 2. Enter shipping information 3. Click ""Continue""",High,Major,Incorrect shipping information error displayed,Shipping information should be validated correctly,Web 2.0,Jane Smith,Resolved,Checkout
10,Incorrect order confirmation message,1. Complete a purchase 2. Check the order confirmation message,Low,Minor,Incorrect order information displayed,Correct order information should be displayed,Web 2.0,Jane Smith,Resolved,Checkout
2,Broken links on the homepage,1. Navigate to the homepage 2. Click on various links,Medium,Major,404 error page displayed,The corresponding page should be displayed,Web 2.0,Jane Smith,Resolved,Homepage
6,Slow page load times,1. Navigate to various pages on the site,Low,Minor,Pages take a long time to load,Pages should load quickly,Web 2.0,Jane Smith,Open,Performance
26,Incorrect redirection after login,"1. Log out from the online bookstore <br> 2. Click the ""Log in"" button <br> 3. Enter valid credentials and click ""Log in""",Medium,Minor,The user is not redirected to the previous page after login,The user should be redirected to the previous page after login,Web 2.0,John Doe,Open,Authentication
11,Incorrect book category displayed,1. Navigate to the book detail page 2. Check the book category displayed,Low,Minor,Incorrect book category displayed,Correct book category should be displayed,Web 2.0,John Doe,Open,Book Information
1,Unable to search for books,1. Navigate to the search bar 2. Enter a book title or author name 3. Click the search button,High,Critical,No search results returned,Search results should be displayed based on the entered search query,Web 2.0,John Doe,Resolved,Book Search
3,Unable to add book to cart,"1. Navigate to the book detail page 2. Click on ""Add to Cart"" button",High,Critical,Book is not added to the cart,Book should be added to the cart successfully,Web 2.0,John Doe,Resolved,Cart
28,Incorrect handling of out-of-stock books,1. Add an out-of-stock book to the cart <br> 2. Go to the cart page,High,Medium,The out-of-stock book is still added to the cart,The out-of-stock book should not be added to the cart,Web 2.0,John Doe,Open,Cart
5,Unable to checkout,"1. Navigate to the cart page 2. Click on ""Checkout"" button",High,Critical,Checkout process does not start,Checkout process should start successfully,Web 2.0,John Doe,Resolved,Checkout
7,Incorrect billing information,"1. Navigate to the checkout page 2. Enter billing information 3. Click ""Continue""",High,Major,Incorrect billing information error displayed,Billing information should be validated correctly,Web 2.0,John Doe,Cancelled (not an issue),Checkout
9,Unable to complete purchase,"1. Navigate to the checkout page 2. Enter billing and shipping information 3. Click ""Place Order"" button",High,Critical,Purchase is not completed,Purchase should be completed successfully,Web 2.0,John Doe,Resolved,Checkout
22,Incorrect discount calculation,1. Log in to the online bookstore <br> 2. Add a book to the cart <br> 3. Apply a discount code <br> 4. Check the total price,High,Major,The discount is not applied correctly and the total price is not updated,The discount should be applied correctly and the total price should be updated,Web 2.0,John Doe,Resolved,Discounts
24,Inconsistent page layout on different browsers,"1. Open the online bookstore in Chrome, Firefox, and Safari <br> 2. Observe the page layout",Medium,Minor,The page layout is inconsistent on different browsers,The page layout should be consistent across different browsers,Web 2.0,John Doe,Open,UI
14,Login button not working,1. Navigate to login page 2. Enter valid credentials 3. Click login button,High,Critical,User is unable to login and receives an error message,User should be able to login successfully,Web 2.0,Kyle Reese (business user),Resolved,Authentication
16,Cart item count does not update,1. Add item to cart 2. Verify item is in cart 3. Remove item from cart,High,Major,Item count remains the same despite item being removed from cart,Item count should decrease by one when item is removed from cart,Web 2.0,Kyle Reese (business user),Resolved,Cart
12,Unable to checkout with multiple items,1. Add multiple items to cart 2. Click checkout,High,Critical,User is unable to checkout and receives an error message,User should be able to checkout with multiple items in the cart,Web 2.0,Kyle Reese (business user),Resolved,Checkout
20,Incomplete shipping address form,"1. Navigate to checkout page 2. Fill out shipping address form, leaving required fields blank",High,Major,User is able to proceed to payment page without filling out all required fields,User should be prompted to fill out all required fields before proceeding to payment page,Web 2.0,Kyle Reese (business user),Cancelled (can't reproduce),Checkout
18,Inconsistent image sizes on product pages,Navigate to product pages,Low,Minor,Image sizes vary across product pages,Image sizes should be consistent across all product pages,Web 2.0,Kyle Reese (business user),Resolved,UI
19,Unable to reset password,"1. Navigate to login page 2. Click ""Forgot Password"" link 3. Enter email address and click ""Reset Password"" button",High,Critical,User does not receive password reset email,User should receive password reset email with instructions on how to reset password,Web 2.0,Miles Bennett Dyson,Resolved,Authentication
17,Incorrect item prices displayed,Navigate to product pages,High,Major,Item prices do not match the prices listed in the catalog,Item prices should match the prices listed in the catalog,Web 2.0,Miles Bennett Dyson,Resolved,Catalog
21,Invalid credit card number accepted,"1. Navigate to payment page 2. Enter invalid credit card number 3. Click ""Submit Payment"" button",High,Critical,Invalid credit card number is accepted and user is able to complete purchase,User should be prompted to enter a valid credit card number,Web 2.0,Miles Bennett Dyson,Open,Payment
15,Missing search functionality,Navigate to website homepage,Medium,Major,There is no search bar on the website,The website should have a search bar to allow users to search for specific items,Web 2.0,Miles Bennett Dyson,Resolved,Search
13,Inconsistent font size across pages,Navigate to different pages on the website,Low,Minor,Font sizes vary across pages,Font size should be consistent across all pages,Web 2.0,Miles Bennett Dyson,Resolved,UI
25,Unable to add a book to the cart from the book details page,"1. Navigate to the details page of a book <br> 2. Click the ""Add to Cart"" button",High,Critical,The book is not added to the cart,The book should be added to the cart successfully,Web 2.0,Sarah J. Connor,Resolved,Cart
27,Unable to remove a book from the cart,"1. Add a book to the cart <br> 2. Go to the cart page <br> 3. Click the ""Remove"" button next to the book",High,Major,The book is not removed from the cart,The book should be removed from the cart successfully,Web 2.0,Sarah J. Connor,Resolved,Cart
29,Broken links on the homepage,1. Navigate to the homepage of the online bookstore <br> 2. Click on all links on the page,Medium,Minor,Some of the links are broken and lead to 404 error pages,All links should work correctly and lead to the intended pages,Web 2.0,Sarah J. Connor,Open,Homepage
23,Incorrect sorting of books on the search results page,1. Search for a book <br> 2. Observe the sorting of the search results,Medium,Minor,The books are not sorted in the expected order,The books should be sorted according to the selected sorting option,Web 2.0,Sarah J. Connor,Open,Search
